"name","url","id"
"

Wir wollen einen sofortigen BAUSTOPP von MASSENUNTERKÜNFTEN zur Erstaufnahme von Flüchtlingen.","https://www.openpetition.de/petition/online/wir-wollen-einen-sofortigen-baustopp-von-massenunterkunften-zur-erstaufnahme-von-fluchtlingen",99
"

Verbannt die Ponykarusselle aus Speyer!","https://www.openpetition.de/petition/online/verbannt-die-ponykarusselle-aus-speyer",100
"

Dem Sachgebietsleiter der Ausländerbehörde Sömmerda umgehend kündigen!","https://www.openpetition.de/petition/online/dem-sachgebietsleiter-der-auslaenderbehoerde-soemmerda-unwiderruflich-kuendigen",101
"

Kostenfreiheit Schulweg Bayern","https://www.openpetition.de/petition/online/kostenfreiheit-schulweg-bayern",102
"

Sofortige Einstellung der Straßenneuplanung für eine B27 rund um Eglosheim, H4B4 genannt","https://www.openpetition.de/petition/online/sofortige-einstellung-der-strassenneuplanung-fuer-eine-b27-rund-um-eglosheim-h4b4-genannt",103
"

Gartenschwimmbad Bad Neuenahr-Ahrweiler, geschlossen für immer? Ich bin dagegen!","https://www.openpetition.de/petition/online/gartenschwimmbad-bad-neuenahr-ahrweiler-geschlossen-fuer-immer-ich-bin-dagegen",104
"

Nein zum Abriss des ehemaligen Krankenhauses in Hohen Neuendorf","https://www.openpetition.de/petition/online/nein-zum-abiss-des-ehemaligen-krankenhauses-in-hohen-neuendorf",105
"

Baumerhalt am Liechtensteinpark in Wien","https://www.openpetition.de/petition/online/baumerhalt-am-lichtensteinpark-in-wien",106
"

Hundekotentsorgung durch Hundehalter","https://www.openpetition.de/petition/online/hundekotentsorgung-der-hundehalter",107
"

Volkstheater in die Großmarkthalle,  200 Wohnungen mehr in den Viehhof!","https://www.openpetition.de/petition/online/volkstheater-in-die-grossmarkthalle-200-wohnungen-mehr-in-den-viehhof",108
"

Erhalt städtischer Bäder der Stadt Pforzheim","https://www.openpetition.de/petition/online/erhalt-staedischer-baeder-der-stadt-pforzheim",109
"

Wölfe - Kein Töten dieser wundervollen Geschöpfe","https://www.openpetition.de/petition/online/woelfe-kein-toeten-dieser-wundervollen-geschoepfe",110
