"name","url"
"Sigmar Gabriel, bitte finden Sie eine soziale Lösung und retten Sie 16.000 Arbeitsplätze!","https://www.openpetition.de/petition/online/sigmar-gabriel-bitte-finden-sie-eine-soziale-loesung-und-retten-sie-16-000-arbeitsplaetze"
"Frau Schwesig: Zwillinge sind 2 Kinder! Eltern sollten für jedes Kind Elterngeld erhalten!","https://www.openpetition.de/petition/online/frau-schwesig-zwillinge-sind-2-kinder-eltern-sollten-fuer-jedes-kind-elterngeld-erhalten"
"Gegen die Stromtrasse SuedLink in Schauenburg","https://www.openpetition.de/petition/online/gegen-die-stromtrasse-suedlink-in-schauenburg"
"Sammy Will zu seinem Herrchen  Maik Wiedow Zurück","https://www.openpetition.de/petition/online/sammy-will-zu-sein-besitzern-maik-wiedow-zurueck"
"Unser HGH muss bleiben","https://www.openpetition.de/petition/online/unser-hgh-muss-bleiben"
"Elektrosensible schützen !  Nicht alle Funklöcher schließen !","https://www.openpetition.de/petition/online/nicht-alle-funkloecher-schliessen-ausnahmen-fuer-elektrosensible-belassen"
"Damit KiTa - Plätze in Rheine bezahlbar bleiben!","https://www.openpetition.de/petition/online/damit-kita-plaetze-in-rheine-bezahlbar-bleiben"
"Legale Zugangswege in die EU schaffen - Inhaftierung, Abschiebung und das Sterben verhindern!","https://www.openpetition.de/petition/online/legale-zugangswege-in-die-eu-schaffen-inhaftierung-abschiebung-und-das-sterben-verhindern"
"Hundewiese für Regensburg und Umgebung","https://www.openpetition.de/petition/online/hundewiese-fuer-regensburg-und-umgebung"
"Keine Abschiebung für den Lebensretter Hassan Yahya (Freiburg-Weingarten)","https://www.openpetition.de/petition/online/keine-abschiebung-fuer-den-lebensretter-hassan-yahya-freiburg-weingarten"
"Geschwindigkeitsbegrenzung und geschlossene Bahnschranke","https://www.openpetition.de/petition/online/geschwindigkeitsbegrenzung-und-geschlossene-bahnschranke"
"Wiederzulassung der theoretischen Fahrerlaubnis-Prüfung in arabischer Sprache","https://www.openpetition.de/petition/online/wiederzulassung-der-theoretischen-fahrerlaubnis-pruefung-in-arabischer-sprache"
"Petition zur Verbesserung der Situation von Lehrbeauftragten der Eberhard Karls Universität Tübingen","https://www.openpetition.de/petition/online/petition-zur-verbesserung-der-situation-von-lehrbeauftragten-der-eberhard-karls-universitat-tubingen"
"Bettina Halbey soll in ihrer Wohnung bleiben dürfen - Für eine sofortige Rücknahme der Kündigung!","https://www.openpetition.de/petition/online/bettina-halbey-soll-in-ihrer-wohnung-bleiben-duerfen-fuer-eine-sofortige-ruecknahme-der-kuendigung"
"Erhalt der Integrations-KiTA ""Am Königswald"", Dörnichtweg 34, 01109 Dresden-keine Schließung 2018!","https://www.openpetition.de/petition/online/erhalt-der-intergrations-kita-am-koenigswald-doernichtweg-34-01109-dresden-keine-schliessung-2018"
"#AUSLAGENERSATZ streichen!","https://www.openpetition.de/petition/online/auslagenersatz-streichen"
"Hilfe für den Marktkauf in Ahlen!","https://www.openpetition.de/petition/online/hilfe-fuer-den-marktkauf-in-ahlen"
"Sinnvolle und nachhaltige Präventionsmaßnahmen an der B229 Talstraße-Keine weiteren Verkehrstoten !","https://www.openpetition.de/petition/online/dauerhafte-kontrollen-an-der-b229-talstrasse-luedenscheid-wir-wollen-keine-weiteren-verkehrstoten"
"Betreuungsgeld und Erziehungsfreiheit erhalten!","https://www.openpetition.de/petition/online/betreuungsgeld-und-erziehungsfreiheit-erhalten"
"Für gute Arbeits- und Beschäftigungsbedingungen in der Erziehungswissenschaft!","https://www.openpetition.de/petition/online/fuer-gute-arbeits-und-beschaeftigungsbedingungen-in-der-erziehungswissenschaft"
"Gegen die Veränderung des gültigen Bebauungsplans für Windenergieanlagen in Meckenheim und Rheinbach","https://www.openpetition.de/petition/online/gegen-die-veranderung-des-gultigen-bebauungsplans-fur-windenergieanlagen-in-meckenheim-und-rheinbach"
"Rettet das Schlössle in Haigerloch","https://www.openpetition.de/petition/online/rettet-das-schloessle-in-haigerloch"
"Hundeplatz für Erftstadt","https://www.openpetition.de/petition/online/hundeplatz-fuer-erftstadt"
"Öffnet den Flughafen Tempelhof für das Deutsch-Amerikanische Volksfest!","https://www.openpetition.de/petition/online/oeffnet-den-flughafen-tempelhof-fuer-das-deutsch-amerikanische-volksfest"
"""Bildung statt Rassismus"" - Wir brauchen politische Bildung!","https://www.openpetition.de/petition/online/bildung-statt-rassismus-wir-brauchen-politische-bildung"
"Ebay Abzocke - Gebühr auf Portokosten","https://www.openpetition.de/petition/online/ebay-abzocke-gebuhr-auf-portokosten"
"Erhalt des Karmelitenklosters in Straubing","https://www.openpetition.de/petition/online/erhalt-des-karmelitenklosters-in-straubing"
"Schutz von renaturierter Isar und Natur am Flaucher vor Müll und übermäßiger Freizeitnutzung","https://www.openpetition.de/petition/online/schutz-von-renaturierter-isar-und-natur-am-flaucher-vor-muell-und-uebermaessiger-freizeitnutzung"
"Die Sächsischen Kletterregeln müssen den Wünschen der Kletterer entsprechen!","https://www.openpetition.de/petition/online/die-saechsischen-kletterregeln-muessen-den-wuenschen-der-kletterer-entsprechen"
"Soziale Wohnraumförderung als fester Bestandteil der Ulmer Stadtentwicklung!","https://www.openpetition.de/petition/online/wohnen-ist-menschenrecht-soziale-wohnraumfoerderung-als-fester-bestandteil-ulmer-stadtentwicklung"
"mehr Personal in Kitas für eine bessere Betreuung und Förderung unserer Kinder","https://www.openpetition.de/petition/online/mehr-personal-in-kitas-fuer-eine-bessere-betreuung-und-foerderung-unserer-kinder"
"Wir fordern die Schließung von Deutschlands Grenzen","https://www.openpetition.de/petition/online/wir-fordern-die-schliessung-von-deutschlands-grenzen"
"Gerechte Herabsetzung der Wucher - Fahrpreise der VAG Nürnberg","https://www.openpetition.de/petition/online/gerechte-herabsetzung-der-wucher-fahrpreise-der-vag-nurnberg"
"Rückerstattung von KITA-Gebühren nach 4 Wochen Streik","https://www.openpetition.de/petition/online/rueckerstattung-von-kita-gebuehren-nach-4-wochen-streik"
"Aktion gegen die Nachtabschaltung der Laternen in Meerbusch (Rhein-Kreis Neuss)","https://www.openpetition.de/petition/online/aktion-gegen-die-nachtabschaltung-der-laternen-in-meerbusch-rhein-kreis-neuss"
"Tunnelbauverein Unterjesingen e.V.  -  Der Tunnel ist die beste Lösung","https://www.openpetition.de/petition/online/tunnelbauverein-unterjesingen-e-v-der-tunnel-ist-die-beste-loesung"
"Gerechte Elternbeiträge in der Kinderbetreuung für alle Familien!","https://www.openpetition.de/petition/online/keine-ein-kind-politik-in-springe-keine-gebuehrenerhoehung-fuer-kinderreiche-familien"
